Paper_ID,DOI,Role,Table_number,PDF_page,Table_types,Caption_excerpt,Caption_word_count,Source_status,Mean_or_std_signal,Best_second_best_signal
P044,10.1109/tfuzz.2021.3067724,A,I,8,PARAMETERS; COMPLEXITY,MAIN NOMINAL DYNAMIC PARAMETERS,4,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P044,10.1109/tfuzz.2021.3067724,A,II,9,UNCLASSIFIED,OPTIMAL CONTROL GAIN κOPT AND THE MINIMUM,7,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P046,10.1109/tie.2025.3536628,A,I,9,UNCLASSIFIED,MSE OF THE TRACKING ERRORS,5,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P048,10.1109/tie.2025.3639779,A,I,6,PARAMETERS; COMPLEXITY,PARAMETERS OF THE PROPOSED METHOD,5,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P048,10.1109/tie.2025.3639779,A,II,8,UNCLASSIFIED,EXPLORATION STATISTIC OF ALL METHODS,5,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P053,10.1109/tii.2025.3593966,A,IV,8,UNCLASSIFIED,compares UA V deployment numbers across different,7,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P056,10.1109/tii.2022.3143175,A,I,6,PARAMETERS; ENVIRONMENT_SETTINGS; COMPLEXITY,Environmental setup parameters.,3,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P056,10.1109/tii.2022.3143175,A,II,8,MAIN_COMPARISON,Comparison of computational cost between,5,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P057,10.1109/tim.2025.3584117,A,I,10,PARAMETERS; ENVIRONMENT_SETTINGS,shows the parameter settings.,4,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P057,10.1109/tim.2025.3584117,A,II,12,MAIN_COMPARISON,COMPARISONS RESULTS OF DIFFERENT METHODS ON THE TESTING SET,9,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P057,10.1109/tim.2025.3584117,A,III,13,ENVIRONMENT_SETTINGS; MAIN_COMPARISON,COMPARISONS WITH SOTA M ETHODS IN THE LARGE -S CALE INDOOR AND OUTDOOR ENVIRONMENTS (T EN RUNS EACH ),19,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P057,10.1109/tim.2025.3584117,A,IV,15,MAIN_COMPARISON,COMPARISONS WITH DIFFERENT METHODS IN THE INDOOR AND,8,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P058,10.1109/tim.2024.3522370,A,I,9,PARAMETERS; COMPLEXITY,HYPERPARAMETERS OF DDQN T RAINING,5,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P058,10.1109/tim.2024.3522370,A,II,9,PARAMETERS; COMPLEXITY,PARAMETERS OF THE FLOCKING MODEL,5,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P058,10.1109/tim.2024.3522370,A,III,9,PARAMETERS; COMPLEXITY,PARAMETERS OF THE FIXED -W ING UAV MODEL,8,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P058,10.1109/tim.2024.3522370,A,IV,9,PARAMETERS; COMPLEXITY,PARAMETERS OF THE UGV M ODEL,6,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P058,10.1109/tim.2024.3522370,A,V,12,UNCLASSIFIED,MAIN COMPONENTS AND FEATURES OF THE EXPERIMENT PLATFORM,8,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P059,10.1109/tim.2023.3265741,A,I,8,UNCLASSIFIED,EVALUATION METRIC ABOUT LEARNING PROCESS,5,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P059,10.1109/tim.2023.3265741,A,II,9,UNCLASSIFIED,TRACKING ERRORS IN NUMERICAL SIMULATION WITHOUT,6,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P059,10.1109/tim.2023.3265741,A,III,10,MAIN_COMPARISON,COMPARISON EXPERIMENTS WITH LATEST METHODS,5,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P059,10.1109/tim.2023.3265741,A,IV,10,UNCLASSIFIED,RMSE P ERFORMANCE OF THE PROPOSED METHOD AND CADRC,9,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P060,10.1109/tim.2025.3562241,A,I,11,UNCLASSIFIED,"Compared to the SGFC and MPO-IC algorithms, the",8,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P060,10.1109/tim.2025.3562241,A,II,12,MAIN_COMPARISON,CENTER FORCE TRACKING PERFORMANCE UNDER,5,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P060,10.1109/tim.2025.3562241,A,III,13,PARAMETERS; COMPLEXITY,SURFACE QUALITY PARAMETERS FOR GRINDING,5,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P060,10.1109/tim.2025.3562241,A,IV,13,MAIN_COMPARISON,COMPREHENSIVE PERFORMANCE FOR GRINDING,4,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P061,10.1109/tits.2024.3524562,A,I,9,PARAMETERS; COMPLEXITY,HYPER PARAMETERS USED IN THE SIMULATION,6,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P062,10.1109/tits.2023.3276416,A,I,6,ENVIRONMENT_SETTINGS,TRAFFIC SETTINGS IN THE THREE TEST SCENARIOS,7,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P062,10.1109/tits.2023.3276416,A,II,8,ENVIRONMENT_SETTINGS,SIMULATION SETTINGS OF DIFFERENT VEHICLE TYPES,6,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P062,10.1109/tits.2023.3276416,A,III,9,BASELINE_DESCRIPTION; MAIN_COMPARISON,COMPARISON OF COTV A GAINST BASELINE AND STATE-OF-THE -ART,9,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P062,10.1109/tits.2023.3276416,A,IV,10,MAIN_COMPARISON,"COMPARISON BETWEEN I-C OTV ( INDEPENDENT , N O AGENT COOPER -",12,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P062,10.1109/tits.2023.3276416,A,V,10,MAIN_COMPARISON,COMPARISON BETWEEN COTV AND COTV* (C ONTROL ALL POSSIBLE,9,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P062,10.1109/tits.2023.3276416,A,VI,11,MAIN_COMPARISON,TRAFFIC PERFORMANCE UNDER A DENSE DUBLIN SCENARIO . P ERCENT -,11,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P063,10.1109/tits.2024.3505929,A,I,8,PARAMETERS; ENVIRONMENT_SETTINGS,PARAMETER SETTINGS,2,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
